,operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count,success_rate
82,upload,10,5,5,thread,0.7131060600280762,0.7389533519744873,0.6273033618927002,0.7509007453918457,14771071.133467138,14190016.1518748,13964242.364053285,16715612.63176138,5,0,1.0
83,upload,10,50,5,thread,4.68164306640625,4.746535778045654,2.443493604660034,6.903577327728272,2452995.8676282903,2210200.272379142,1518887.8898891832,4291298.319751034,50,0,1.0
84,upload,50,1,5,thread,1.6200666427612305,1.6200666427612305,1.6200666427612305,1.6200666427612305,32362125.492961645,32362125.492961645,32362125.492961645,32362125.492961645,1,0,1.0
85,upload,50,5,5,thread,8.33507604598999,8.454914331436157,7.547738075256348,8.680792570114136,6305868.52092765,6200985.361266742,6039632.853398623,6946292.979068346,5,0,1.0
86,upload,50,50,5,thread,56.03634657859802,56.21384060382843,17.388259172439575,95.0918619632721,1205472.772618306,932714.5125201228,551348.9684348583,3015183.951427395,50,0,1.0
87,upload,100,1,5,thread,7.078338384628296,7.078338384628296,7.078338384628296,7.078338384628296,14813872.169168184,14813872.169168184,14813872.169168184,14813872.169168184,1,0,1.0
88,upload,100,5,5,thread,31.55465612411499,31.84408950805664,30.342130661010746,32.6002140045166,3326309.358036379,3292843.4010798377,3216469.6828515446,3455841.686646637,5,0,1.0
89,upload,100,50,5,thread,195.6287669610977,193.0008572340012,49.545592069625854,343.51240849494934,739883.6115024468,543839.8650393258,305251.27304547344,2116386.0521162977,50,0,1.0
90,download,10,1,50,thread,0.2011866569519043,0.2011866569519043,0.2011866569519043,0.2011866569519043,52119559.81010573,52119559.81010573,52119559.81010573,52119559.81010573,1,0,1.0
91,download,10,5,50,thread,0.6528645038604737,0.6707553863525391,0.4509594440460205,0.775294303894043,16619376.39223832,15632763.021136353,13524876.872348407,23252113.107825115,5,0,1.0
92,download,10,50,50,thread,2.9993108749389648,3.0082662105560303,0.7214398384094238,5.315333843231201,4636202.90420367,3485648.9639132945,1972737.8014747023,14534489.837875066,45,5,0.9
93,download,50,1,50,thread,1.7340142726898191,1.7340142726898191,1.7340142726898191,1.7340142726898191,30235506.607838903,30235506.607838903,30235506.607838903,30235506.607838903,1,0,1.0
94,download,50,5,50,thread,7.317446947097778,7.298198699951172,6.101625204086304,8.050738334655762,7238910.434542165,7183800.024566442,6512297.1112241205,8592595.94720568,5,0,1.0
95,download,50,50,50,thread,47.80992851866053,55.03541946411133,8.172920227050781,62.17959523200989,1470340.0747299436,952637.4198744664,843183.3594987732,6414940.871008485,47,3,0.94
